Киров;Кировская область;Приволжский;473668
Кировград;Свердловская область;Уральский;21959
Кирово-Чепецк;Кировская область;Приволжский;80920
Кировск;Ленинградская область;Северо-Западный;25633
Кировск;Мурманская область;Северо-Западный;28659
Кирс;Кировская область;Приволжский;10420
Кирсанов;Тамбовская область;Центральный;17240
Киселёвск;Кемеровская область;Сибирский;98382
Кисловодск;Ставропольский край;Северо-Кавказский;128502
Клин;Московская область;Центральный;80584
Клинцы;Брянская область;Центральный;62510
Княгинино;Нижегородская область;Приволжский;6708
Ковдор;Мурманская область;Северо-Западный;18836
Ковров;Владимирская область;Центральный;145492
Ковылкино;Мордовия;Приволжский;21307
Когалым;Ханты-Мансийский АО - Югра;Уральский;58192
Кодинск;Красноярский край;Сибирский;14835
Козельск;Калужская область;Центральный;18203
Козловка;Чувашия;Приволжский;10355
Козьмодемьянск;Марий Эл;Приволжский;21262
Кола;Мурманская область;Северо-Западный;10447
Кологрив;Костромская область;Центральный;3314
Коломна;Московская область;Центральный;144642
Колпашево;Томская область;Сибирский;24126
Кольчугино;Владимирская область;Центральный;45804
Коммунар;Ленинградская область;Северо-Западный;20265
Комсомольск;Ивановская область;Центральный;8693
Комсомольск-на-Амуре;Хабаровский край;Дальневосточный;263906
Конаково;Тверская область;Центральный;41303
Кондопога;Карелия;Северо-Западный;32978
Кондрово;Калужская область;Центральный;16672
Константиновск;Ростовская область;Южный;17926
Копейск;Челябинская область;Уральский;137604
Кораблино;Рязанская область;Центральный;12657
Кореновск;Краснодарский край;Южный;41179
Коркино;Челябинская область;Уральский;38950
Королёв;Московская область;Центральный;225
Короча;Белгородская область;Центральный;5877
Корсаков;Сахалинская область;Дальневосточный;33526
Коряжма;Архангельская область;Северо-Западный;39629
Костерёво;Владимирская область;Центральный;9136
Костомукша;Карелия;Северо-Западный;28433
Кострома;Костромская область;Центральный;268617
Котельники;Московская область;Центральный;32347
Котельниково;Волгоградская область;Южный;20441
Котельнич;Кировская область;Приволжский;24979
Котлас;Архангельская область;Северо-Западный;60562
Котово;Волгоградская область;Южный;24104
Котовск;Тамбовская область;Центральный;31851
Кохма;Ивановская область;Центральный;29408
Красавино;Вологодская область;Северо-Западный;7003
Красноармейск;Московская область;Центральный;26294
Красноармейск;Саратовская область;Приволжский;24362
Красновишерск;Пермский край;Приволжский;17129
Красногорск;Московская область;Центральный;116738
Краснодар;Краснодарский край;Южный;744933
Краснозаводск;Московская область;Центральный;13432
Краснознаменск;Калининградская область;Северо-Западный;3522
Краснознаменск;Московская область;Центральный;36057
Краснокаменск;Забайкальский край;Сибирский;55668
Краснокамск;Пермский край;Приволжский;52632
Красноперекопск;Крым;Южный;26268
Краснослободск;Волгоградская область;Южный;16007
Краснослободск;Мордовия;Приволжский;10151
Краснотурьинск;Свердловская область;Уральский;59701
Красноуральск;Свердловская область;Уральский;24973
Красноуфимск;Свердловская область;Уральский;39765
Красноярск;Красноярский край;Сибирский;973826
Красный Кут;Саратовская область;Приволжский;14420
Красный Сулин;Ростовская область;Южный;40866
Красный Холм;Тверская область;Центральный;5608
Кремёнки;Калужская область;Центральный;11617
Кропоткин;Краснодарский край;Южный;80743
Крымск;Краснодарский край;Южный;57370
Кстово;Нижегородская область;Приволжский;66641
Кубинка;Московская область;Центральный;22918
Кувандык;Оренбургская область;Приволжский;26176
Кувшиново;Тверская область;Центральный;10008
Кудрово;Ленинградская область;Северо-Западный;13501
Кудымкар;Пермский край;Приволжский;30711
Кузнецк;Пензенская область;Приволжский;88886
Куйбышев;Новосибирская область;Сибирский;47278
Кукмор;Татарстан;Приволжский;17700
Кулебаки;Нижегородская область;Приволжский;35762
Кумертау;Башкортостан;Приволжский;62854
Кунгур;Пермский край;Приволжский;67857
Купино;Новосибирская область;Сибирский;15448
Курган;Курганская область;Уральский;333640
Курганинск;Краснодарский край;Южный;47974
